,id_empresa,data_inicio_atividade,data_cadastro,nome_economico,nome_bairro
46,3143,2013-02-15,2013-05-10,Empresa 3143,Bairro 1
47,4013,2016-07-25,2016-10-04,Empresa 4013,Bairro 1
48,2150,2005-10-01,2012-03-27,Empresa 2150,Bairro 1
49,1693,2001-02-01,2009-12-09,Empresa 1693,Bairro 1
50,3550,2012-07-16,2014-10-09,Empresa 3550,Bairro 1
51,39,1984-01-01,2007-02-01,Empresa 39,Bairro 1
52,3695,2015-04-23,2015-08-27,Empresa 3695,Bairro 1
53,3662,2010-02-22,2015-07-23,Empresa 3662,Bairro 1
54,718,2013-04-24,2013-06-24,Empresa 718,Bairro 1
55,3555,2015-02-09,2015-03-24,Empresa 3555,Bairro 1
56,1772,2002-02-01,2006-11-08,Empresa 1772,Bairro 1
57,776,2013-08-20,2013-09-12,Empresa 776,Bairro 1
58,38,1973-01-18,2009-01-07,Empresa 38,Bairro 1
59,48,2010-03-01,2010-04-06,Empresa 48,Bairro 1
60,799,2013-09-17,2013-10-29,Empresa 799,Bairro 1
61,3445,2014-09-01,2014-09-18,Empresa 3445,Bairro 1
62,49,2011-01-01,2007-05-30,Empresa 49,Bairro 1
63,816,1984-02-15,2009-11-26,Empresa 816,Bairro 1
64,809,1981-08-01,2007-04-11,Empresa 809,Bairro 1
65,625,2013-01-02,2013-02-19,Empresa 625,Bairro 1
66,820,1964-10-04,2009-01-07,Empresa 820,Bairro 1
67,3492,2014-10-01,2014-10-01,Empresa 3492,Bairro 1
68,831,2002-03-01,2007-03-12,Empresa 831,Bairro 1
69,6326,2023-02-06,2023-02-06,Empresa 6326,Bairro 1
70,3100,1981-11-11,2012-08-03,Empresa 3100,Bairro 1
71,356,2011-12-01,2011-12-14,Empresa 356,Bairro 1
72,70,1986-02-01,2009-01-07,Empresa 70,Bairro 1
73,6330,2023-02-10,2023-02-10,Empresa 6330,Bairro 1
74,6332,2023-02-10,2023-02-10,Empresa 6332,Bairro 1
75,839,1998-04-01,2006-10-16,Empresa 839,Bairro 1
76,840,1996-07-01,2007-07-05,Empresa 840,Bairro 1
77,6035,2022-03-11,2022-03-22,Empresa 6035,Bairro 1
78,848,1952-10-09,2009-01-07,Empresa 848,Bairro 1
79,6334,2023-02-13,2023-02-14,Empresa 6334,Bairro 1
80,858,1990-07-01,2009-01-07,Empresa 858,Bairro 1
81,6339,2023-02-15,2023-02-16,Empresa 6339,Bairro 1
82,862,1989-07-21,2007-05-30,Empresa 862,Bairro 1
83,6341,2023-02-14,2023-02-14,Empresa 6341,Bairro 1
84,3954,2016-07-13,2016-08-08,Empresa 3954,Bairro 1
85,874,1963-01-07,2009-01-07,Empresa 874,Bairro 1
86,896,1985-04-11,2008-04-24,Empresa 896,Bairro 1
87,902,1973-01-24,2009-01-07,Empresa 902,Bairro 1
88,909,1976-05-03,2009-01-07,Empresa 909,Bairro 1
89,904,1970-10-20,2007-06-26,Empresa 904,Bairro 1
90,905,1986-01-02,2009-12-03,Empresa 905,Bairro 1
91,879,1986-02-03,2007-02-05,Empresa 879,Bairro 1
92,911,1979-10-01,2009-01-07,Empresa 911,Bairro 1
93,903,1978-04-01,2009-01-07,Empresa 903,Bairro 1
94,893,1989-09-01,2009-01-07,Empresa 893,Bairro 1
95,920,1969-07-07,2009-01-07,Empresa 920,Bairro 1
96,908,1991-03-01,2007-10-08,Empresa 908,Bairro 1
97,941,1983-03-16,2007-09-20,Empresa 941,Bairro 1
98,948,1982-08-01,2013-05-16,Empresa 948,Bairro 1
99,939,1983-03-16,2008-10-24,Empresa 939,Bairro 1
100,930,1978-03-02,2009-01-07,Empresa 930,Bairro 1
101,934,1982-05-13,2007-07-05,Empresa 934,Bairro 1
102,929,1983-03-01,2009-01-07,Empresa 929,Bairro 1
103,946,1978-06-01,2009-01-07,Empresa 946,Bairro 1
104,982,1962-12-07,2007-05-10,Empresa 982,Bairro 1
105,990,1977-05-26,2010-09-17,Empresa 990,Bairro 1
106,977,1981-01-01,2009-01-07,Empresa 977,Bairro 1
107,984,1978-02-01,2012-07-12,Empresa 984,Bairro 1
108,980,1962-12-27,2007-06-01,Empresa 980,Bairro 1
109,988,1966-08-02,2013-05-17,Empresa 988,Bairro 1
110,978,1981-01-01,2009-12-15,Empresa 978,Bairro 1
111,1005,1986-06-23,2009-01-07,Empresa 1005,Bairro 1
112,1004,1985-04-01,2006-11-08,Empresa 1004,Bairro 1
113,45,1974-03-22,2007-04-16,Empresa 45,Bairro 1
114,2335,2007-02-21,2007-03-27,Empresa 2335,Bairro 1
115,1030,1986-08-01,2009-01-07,Empresa 1030,Bairro 1
116,1033,1986-09-01,2006-11-08,Empresa 1033,Bairro 1
117,1034,1986-09-01,2009-01-07,Empresa 1034,Bairro 1
118,2931,2009-10-01,2010-08-16,Empresa 2931,Bairro 1
119,3182,2013-08-17,2013-09-11,Empresa 3182,Bairro 1
120,3188,2013-09-20,2013-10-08,Empresa 3188,Bairro 1
121,3187,2013-09-20,2013-10-08,Empresa 3187,Bairro 1
122,3185,2013-08-01,2013-09-30,Empresa 3185,Bairro 1
123,3184,2013-09-03,2013-09-26,Empresa 3184,Bairro 1
124,1052,1987-02-01,2006-12-21,Empresa 1052,Bairro 1
125,1021,1985-10-15,2007-01-09,Empresa 1021,Bairro 1
126,1061,1987-06-01,2008-04-25,Empresa 1061,Bairro 1
127,3150,2013-06-13,2013-06-17,Empresa 3150,Bairro 1
128,3157,2013-06-14,2013-07-01,Empresa 3157,Bairro 1
129,1093,1989-06-01,2009-01-07,Empresa 1093,Bairro 1
130,3155,2013-05-02,2013-06-24,Empresa 3155,Bairro 1
131,1074,1988-06-06,2009-01-07,Empresa 1074,Bairro 1
132,1072,1988-06-01,2009-01-07,Empresa 1072,Bairro 1
133,1076,1988-08-01,2009-01-07,Empresa 1076,Bairro 1
134,3154,2013-06-10,2013-06-21,Empresa 3154,Bairro 1
135,3151,2013-06-06,2013-06-18,Empresa 3151,Bairro 1
136,1098,1989-06-01,2009-01-07,Empresa 1098,Bairro 1
137,1090,1989-03-01,2007-12-14,Empresa 1090,Bairro 1
138,3161,2013-07-04,2013-07-05,Empresa 3161,Bairro 1
139,3454,2014-06-13,2014-06-13,Empresa 3454,Bairro 1
140,1099,1989-07-01,2009-01-07,Empresa 1099,Bairro 1
141,1105,1946-04-11,2007-04-20,Empresa 1105,Bairro 1
142,1112,1988-09-01,2009-01-07,Empresa 1112,Bairro 1
143,1101,1989-09-15,2011-07-21,Empresa 1101,Bairro 1
144,3165,2012-06-12,2013-07-12,Empresa 3165,Bairro 1
145,1109,1989-10-01,2008-02-06,Empresa 1109,Bairro 1
146,3142,2013-05-01,2013-04-30,Empresa 3142,Bairro 1
147,3138,2012-02-14,2013-04-01,Empresa 3138,Bairro 1
148,3127,2013-01-10,2013-01-04,Empresa 3127,Bairro 1
149,1141,1987-11-01,2006-10-17,Empresa 1141,Bairro 1
150,3125,2012-12-04,2012-12-18,Empresa 3125,Bairro 1
151,3104,2012-08-13,2012-09-12,Empresa 3104,Bairro 1
152,1152,1982-06-01,2007-01-05,Empresa 1152,Bairro 1
153,1163,1967-10-19,2007-05-31,Empresa 1163,Bairro 1
154,1151,1990-12-01,2006-11-07,Empresa 1151,Bairro 1
155,1161,1984-03-14,2009-01-07,Empresa 1161,Bairro 1
156,3098,2012-06-17,2012-07-24,Empresa 3098,Bairro 1
157,3088,2006-09-29,2012-06-19,Empresa 3088,Bairro 1
158,3836,2016-03-29,2016-03-29,Empresa 3836,Bairro 1
159,6368,2023-05-12,2023-05-12,Empresa 6368,Bairro 1
160,1184,1991-06-01,2009-01-07,Empresa 1184,Bairro 1
161,1197,1991-09-14,2009-01-07,Empresa 1197,Bairro 1
162,3081,2012-03-01,2012-04-23,Empresa 3081,Bairro 1
163,3078,2012-04-09,2012-04-12,Empresa 3078,Bairro 1
164,1202,1991-12-01,2006-11-08,Empresa 1202,Bairro 1
165,3073,2012-02-01,2012-03-07,Empresa 3073,Bairro 1
166,1213,1992-05-02,2009-01-07,Empresa 1213,Bairro 1
167,3467,2014-08-28,2014-10-15,Empresa 3467,Bairro 1
168,1196,1991-10-01,2006-09-25,Empresa 1196,Bairro 1
169,3058,2011-12-01,2011-12-12,Empresa 3058,Bairro 1
170,1230,1992-10-01,2009-01-07,Empresa 1230,Bairro 1
171,3040,2011-09-01,2011-09-16,Empresa 3040,Bairro 1
172,1231,1993-02-01,2009-01-07,Empresa 1231,Bairro 1
173,1246,1993-06-01,2009-01-07,Empresa 1246,Bairro 1
174,1247,1993-04-24,2009-01-07,Empresa 1247,Bairro 1
175,1243,1993-07-01,2009-01-07,Empresa 1243,Bairro 1
176,3529,2014-11-11,2015-02-02,Empresa 3529,Bairro 1
177,1253,1993-09-01,2007-03-16,Empresa 1253,Bairro 1
178,1257,1993-11-01,2009-01-07,Empresa 1257,Bairro 1
179,1270,1994-01-03,2009-01-07,Empresa 1270,Bairro 1
180,1264,1993-11-10,2009-01-07,Empresa 1264,Bairro 1
181,1261,1994-01-01,2007-02-05,Empresa 1261,Bairro 1
182,1266,1994-02-01,2007-12-20,Empresa 1266,Bairro 1
183,1272,1994-01-01,2013-05-27,Empresa 1272,Bairro 1
184,3020,2011-03-09,2011-07-14,Empresa 3020,Bairro 1
185,1291,1994-06-01,2007-02-02,Empresa 1291,Bairro 1
186,1282,1993-09-23,2006-07-25,Empresa 1282,Bairro 1
187,1293,1994-06-01,2007-03-23,Empresa 1293,Bairro 1
188,1278,1994-03-01,2007-02-14,Empresa 1278,Bairro 1
189,2930,2010-07-15,2010-08-12,Empresa 2930,Bairro 1
190,1303,1994-09-01,2007-07-05,Empresa 1303,Bairro 1
191,1297,1994-07-01,2009-01-07,Empresa 1297,Bairro 1
192,1298,1994-07-01,2008-10-08,Empresa 1298,Bairro 1
193,3228,2013-12-20,2013-12-20,Empresa 3228,Bairro 1
194,2985,2011-01-03,2011-02-16,Empresa 2985,Bairro 1
195,1306,1994-10-04,2009-01-07,Empresa 1306,Bairro 1
196,2967,2010-11-09,2010-12-01,Empresa 2967,Bairro 1
197,2965,2010-12-01,2010-11-25,Empresa 2965,Bairro 1
198,2913,2010-06-01,2010-06-17,Empresa 2913,Bairro 1
199,1338,1995-05-09,2007-01-16,Empresa 1338,Bairro 1
200,1332,1995-03-01,2008-01-16,Empresa 1332,Bairro 1
201,2927,2009-09-25,2010-07-30,Empresa 2927,Bairro 1
202,1348,1995-08-01,2009-01-07,Empresa 1348,Bairro 1
203,5916,2021-11-01,2021-11-05,Empresa 5916,Bairro 1
204,1363,1995-12-01,2009-01-07,Empresa 1363,Bairro 1
205,1365,1995-09-01,2009-01-07,Empresa 1365,Bairro 1
206,1355,2004-07-20,2009-01-07,Empresa 1355,Bairro 1
207,2924,2010-03-01,2010-07-22,Empresa 2924,Bairro 1
208,2920,1992-06-09,2010-07-15,Empresa 2920,Bairro 1
209,2878,2010-01-18,2010-02-09,Empresa 2878,Bairro 1
210,1368,1996-01-03,,Empresa 1368,Bairro 1
211,1378,1996-03-01,2009-01-07,Empresa 1378,Bairro 1
212,1375,1995-12-01,2011-10-06,Empresa 1375,Bairro 1
213,1369,1996-02-01,2007-06-25,Empresa 1369,Bairro 1
214,1373,1996-03-01,2009-01-07,Empresa 1373,Bairro 1
215,2871,2010-01-02,2010-01-27,Empresa 2871,Bairro 1
216,2874,2010-01-27,2010-02-04,Empresa 2874,Bairro 1
217,1387,1996-04-01,2006-11-08,Empresa 1387,Bairro 1
218,2899,2009-08-10,2010-05-18,Empresa 2899,Bairro 1
219,2895,2010-03-10,2010-04-14,Empresa 2895,Bairro 1
220,1392,1996-07-01,2007-07-05,Empresa 1392,Bairro 1
221,1396,1996-01-15,2009-01-07,Empresa 1396,Bairro 1
222,2893,2009-11-13,2010-04-05,Empresa 2893,Bairro 1
223,1419,1997-01-02,2009-01-07,Empresa 1419,Bairro 1
224,2832,2009-09-14,2009-09-23,Empresa 2832,Bairro 1
225,2865,2009-12-03,2009-12-28,Empresa 2865,Bairro 1
226,2853,2009-11-16,2009-11-17,Empresa 2853,Bairro 1
227,1443,1997-06-01,2007-10-22,Empresa 1443,Bairro 1
228,2847,2009-11-02,2009-11-11,Empresa 2847,Bairro 1
229,1435,1997-07-14,2009-01-07,Empresa 1435,Bairro 1
230,1457,1997-12-01,2008-04-02,Empresa 1457,Bairro 1
231,1456,1997-12-03,,Empresa 1456,Bairro 1
232,52,2010-04-04,2010-04-14,Empresa 52,Bairro 1
233,1467,1997-01-01,2009-01-07,Empresa 1467,Bairro 1
234,2816,2009-04-02,2009-08-31,Empresa 2816,Bairro 1
235,1461,1998-02-01,2009-01-07,Empresa 1461,Bairro 1
236,1477,1998-02-01,2008-02-01,Empresa 1477,Bairro 1
237,2842,2009-10-01,2009-10-29,Empresa 2842,Bairro 1
238,2499,2007-10-01,2008-02-26,Empresa 2499,Bairro 1
239,2851,2009-08-06,2009-11-16,Empresa 2851,Bairro 1
240,5911,2021-10-25,2021-10-29,Empresa 5911,Bairro 1
241,2811,2009-07-06,2009-08-24,Empresa 2811,Bairro 1
242,2805,2009-07-27,2009-08-10,Empresa 2805,Bairro 1
243,2804,2009-07-30,2015-06-08,Empresa 2804,Bairro 1
244,2801,2009-06-16,2009-07-30,Empresa 2801,Bairro 1
245,3473,2014-11-01,2014-10-23,Empresa 3473,Bairro 1
246,2723,2009-01-27,2009-03-25,Empresa 2723,Bairro 1
247,1485,2001-01-02,2006-11-10,Empresa 1485,Bairro 1
248,2755,2009-05-11,2009-05-13,Empresa 2755,Bairro 1
249,3277,2013-12-18,2013-12-18,Empresa 3277,Bairro 1
250,157,2010-12-06,2010-12-07,Empresa 157,Bairro 1
251,2749,2009-03-25,2009-05-08,Empresa 2749,Bairro 1
252,2740,1988-09-09,2009-04-24,Empresa 2740,Bairro 1
253,1491,1984-09-01,2006-10-27,Empresa 1491,Bairro 1
254,2747,2009-04-29,2009-05-04,Empresa 2747,Bairro 1
255,2754,2008-11-20,2009-05-12,Empresa 2754,Bairro 1
256,2738,2009-04-02,2009-04-24,Empresa 2738,Bairro 1
257,3510,2014-09-18,2014-09-18,Empresa 3510,Bairro 1
258,2712,2009-02-19,2009-03-09,Empresa 2712,Bairro 1
259,2695,2009-02-02,2009-02-10,Empresa 2695,Bairro 1
260,3241,2011-12-02,2014-01-09,Empresa 3241,Bairro 1
261,2708,2009-01-01,2009-03-05,Empresa 2708,Bairro 1
262,2688,2009-02-01,2009-02-02,Empresa 2688,Bairro 1
263,3245,1989-10-27,2014-01-10,Empresa 3245,Bairro 1
264,1500,1992-09-30,2009-01-07,Empresa 1500,Bairro 1
265,1503,1998-06-01,2009-01-07,Empresa 1503,Bairro 1
266,1501,1998-06-15,2008-09-01,Empresa 1501,Bairro 1
267,1498,1998-06-01,2007-10-15,Empresa 1498,Bairro 1
268,1569,1999-03-01,2009-01-07,Empresa 1569,Bairro 1
269,1521,1998-09-01,,Empresa 1521,Bairro 1
270,2672,2008-10-01,2008-12-08,Empresa 2672,Bairro 1
271,1510,1998-05-01,2009-01-07,Empresa 1510,Bairro 1
272,1519,1997-11-01,2006-08-07,Empresa 1519,Bairro 1
273,3249,1991-12-05,2014-01-10,Empresa 3249,Bairro 1
274,2655,2008-11-04,2008-11-11,Empresa 2655,Bairro 1
275,1533,1996-08-01,2009-01-07,Empresa 1533,Bairro 1
276,2670,2008-12-01,2008-12-05,Empresa 2670,Bairro 1
277,2667,2008-07-01,2008-12-04,Empresa 2667,Bairro 1
278,2657,2006-05-25,2008-11-17,Empresa 2657,Bairro 1
279,1555,1998-11-01,2009-01-07,Empresa 1555,Bairro 1
280,1979,1984-07-18,2013-06-06,Empresa 1979,Bairro 1
281,2638,2008-10-03,2008-10-13,Empresa 2638,Bairro 1
282,4011,2016-07-27,2016-10-03,Empresa 4011,Bairro 1
283,2616,2008-07-01,2008-09-10,Empresa 2616,Bairro 1
284,3787,2014-02-25,2016-02-02,Empresa 3787,Bairro 1
285,2644,2008-11-01,2008-10-24,Empresa 2644,Bairro 1
286,2628,2008-07-22,2008-09-29,Empresa 2628,Bairro 1
287,5855,2021-08-19,2021-09-08,Empresa 5855,Bairro 1
288,2582,2008-04-17,2008-07-22,Empresa 2582,Bairro 1
289,2606,2008-06-11,2008-08-26,Empresa 2606,Bairro 1
290,1611,1999-08-16,2009-01-07,Empresa 1611,Bairro 1
291,88,2010-06-29,2010-07-02,Empresa 88,Bairro 1
292,2594,2008-07-15,2008-08-06,Empresa 2594,Bairro 1
293,2540,2008-04-01,2008-05-16,Empresa 2540,Bairro 1
294,107,1962-07-16,2007-05-30,Empresa 107,Bairro 1
295,1669,2000-07-20,2009-01-07,Empresa 1669,Bairro 1
296,2553,2008-04-24,2008-06-17,Empresa 2553,Bairro 1
297,1663,2000-07-01,2008-06-05,Empresa 1663,Bairro 1
298,1672,2000-09-04,,Empresa 1672,Bairro 1
299,174,2011-02-01,2011-02-21,Empresa 174,Bairro 1
300,5835,2021-06-25,2021-08-23,Empresa 5835,Bairro 1
301,2541,2008-03-03,2008-05-16,Empresa 2541,Bairro 1
302,1704,2001-03-17,2009-01-07,Empresa 1704,Bairro 1
303,1709,2001-04-02,2009-01-07,Empresa 1709,Bairro 1
304,3269,2005-02-10,2014-01-14,Empresa 3269,Bairro 1
305,2537,2008-04-14,2008-05-14,Empresa 2537,Bairro 1
306,1711,2001-02-01,,Empresa 1711,Bairro 1
307,2507,2008-02-18,2008-03-10,Empresa 2507,Bairro 1
308,2513,2008-02-12,2008-03-18,Empresa 2513,Bairro 1
309,1739,2001-11-01,2007-01-26,Empresa 1739,Bairro 1
310,2497,2008-02-01,2008-02-20,Empresa 2497,Bairro 1
311,2490,2008-02-18,2008-02-18,Empresa 2490,Bairro 1
312,1749,2001-10-01,2008-02-26,Empresa 1749,Bairro 1
313,1753,2001-10-22,,Empresa 1753,Bairro 1
314,3604,2015-03-16,2015-05-26,Empresa 3604,Bairro 1
315,2467,2007-12-01,2007-12-07,Empresa 2467,Bairro 1
316,2434,2005-10-21,2007-09-18,Empresa 2434,Bairro 1
317,1787,2002-04-01,2007-12-17,Empresa 1787,Bairro 1
318,1781,1985-12-20,2009-01-07,Empresa 1781,Bairro 1
319,1788,2002-03-01,2007-03-02,Empresa 1788,Bairro 1
320,2421,2007-08-01,2007-08-29,Empresa 2421,Bairro 1
321,2420,2007-05-02,2007-08-29,Empresa 2420,Bairro 1
322,3894,2016-07-01,2016-06-13,Empresa 3894,Bairro 1
323,1804,2002-05-01,2009-01-07,Empresa 1804,Bairro 1
324,2433,2006-10-25,2007-09-17,Empresa 2433,Bairro 1
325,1811,2002-06-25,,Empresa 1811,Bairro 1
326,2415,2007-04-01,2007-08-21,Empresa 2415,Bairro 1
327,2409,2007-06-04,2007-08-16,Empresa 2409,Bairro 1
328,1821,2000-11-20,2009-01-07,Empresa 1821,Bairro 1
329,1850,2002-10-01,2009-03-12,Empresa 1850,Bairro 1
330,1848,2002-11-01,2009-01-07,Empresa 1848,Bairro 1
331,1844,2002-11-01,2009-01-07,Empresa 1844,Bairro 1
332,1857,2003-01-02,2007-06-18,Empresa 1857,Bairro 1
333,2381,2017-12-01,2007-06-20,Empresa 2381,Bairro 1
334,1861,2003-01-02,,Empresa 1861,Bairro 1
335,1868,2003-01-02,2009-01-07,Empresa 1868,Bairro 1
336,1869,2003-02-01,2007-12-03,Empresa 1869,Bairro 1
337,2385,2007-06-06,2007-06-28,Empresa 2385,Bairro 1
338,111,2010-08-16,2010-08-30,Empresa 111,Bairro 1
339,3271,2014-01-20,2014-01-14,Empresa 3271,Bairro 1
340,2339,2007-01-15,2007-04-03,Empresa 2339,Bairro 1
341,1885,2003-05-01,,Empresa 1885,Bairro 1
342,1890,2003-06-01,2011-06-02,Empresa 1890,Bairro 1
343,1882,2003-05-08,2006-08-21,Empresa 1882,Bairro 1
344,522,2012-07-13,2012-08-07,Empresa 522,Bairro 1
345,2340,2007-03-14,2007-04-09,Empresa 2340,Bairro 1
346,1877,2021-08-10,2021-12-10,Empresa 1877,Bairro 1
347,5824,2021-08-05,2021-08-12,Empresa 5824,Bairro 1
348,5814,2021-05-20,2021-08-04,Empresa 5814,Bairro 1
349,1904,2003-07-01,2006-11-08,Empresa 1904,Bairro 1
350,1903,1990-08-07,1990-08-07,Empresa 1903,Bairro 1
351,1919,2003-08-27,2006-07-26,Empresa 1919,Bairro 1
352,3903,2016-06-14,2016-06-20,Empresa 3903,Bairro 1
353,2309,2006-07-17,2006-12-19,Empresa 2309,Bairro 1
354,1929,2003-05-01,2009-01-07,Empresa 1929,Bairro 1
355,2571,2008-07-01,2008-07-10,Empresa 2571,Bairro 1
356,1949,2003-06-01,2009-01-07,Empresa 1949,Bairro 1
357,1928,2003-10-01,2006-11-08,Empresa 1928,Bairro 1
358,2332,2007-02-19,2007-03-21,Empresa 2332,Bairro 1
359,1934,2004-01-01,2007-02-09,Empresa 1934,Bairro 1
360,1939,2003-10-15,2006-09-14,Empresa 1939,Bairro 1
361,2294,2006-08-09,2006-10-25,Empresa 2294,Bairro 1
362,2261,2006-04-26,2006-07-27,Empresa 2261,Bairro 1
363,2279,2006-09-01,2006-09-15,Empresa 2279,Bairro 1
364,2258,2001-05-02,2009-01-07,Empresa 2258,Bairro 1
365,2239,2006-06-01,2007-02-09,Empresa 2239,Bairro 1
366,2251,2006-04-01,2009-01-07,Empresa 2251,Bairro 1
367,1968,2004-05-01,2006-08-28,Empresa 1968,Bairro 1
368,5810,2021-06-28,2021-08-02,Empresa 5810,Bairro 1
369,2246,2006-03-01,2007-07-05,Empresa 2246,Bairro 1
370,1976,2004-04-26,2009-01-07,Empresa 1976,Bairro 1
371,794,2013-09-18,2013-10-17,Empresa 794,Bairro 1
372,2230,2006-02-14,2007-03-30,Empresa 2230,Bairro 1
373,2223,2005-12-07,2012-11-09,Empresa 2223,Bairro 1
374,2009,2004-09-01,2009-01-07,Empresa 2009,Bairro 1
375,2173,2005-06-20,2008-04-28,Empresa 2173,Bairro 1
376,2236,2006-04-01,2009-01-07,Empresa 2236,Bairro 1
377,1996,2004-07-13,,Empresa 1996,Bairro 1
378,2018,2004-11-01,2008-09-30,Empresa 2018,Bairro 1
379,2229,2004-08-01,,Empresa 2229,Bairro 1
380,2222,2005-09-01,2006-08-08,Empresa 2222,Bairro 1
381,2020,2004-02-17,2009-01-07,Empresa 2020,Bairro 1
382,2022,2004-10-25,2009-01-07,Empresa 2022,Bairro 1
383,2038,2004-11-15,2009-01-07,Empresa 2038,Bairro 1
384,2141,2005-04-20,2012-03-15,Empresa 2141,Bairro 1
385,2192,2005-10-13,2007-01-08,Empresa 2192,Bairro 1
386,2196,2006-01-02,,Empresa 2196,Bairro 1
387,2132,2005-08-31,2009-01-07,Empresa 2132,Bairro 1
388,2166,2005-10-01,2009-01-07,Empresa 2166,Bairro 1
389,2082,2005-05-04,,Empresa 2082,Bairro 1
390,5809,2021-06-17,2021-08-02,Empresa 5809,Bairro 1
391,2086,2005-05-01,2008-06-27,Empresa 2086,Bairro 1
392,2089,2001-06-01,2006-10-06,Empresa 2089,Bairro 1
393,2102,2005-06-01,2009-01-07,Empresa 2102,Bairro 1
394,2090,2005-06-01,2009-01-07,Empresa 2090,Bairro 1
395,2081,2005-05-02,2006-11-23,Empresa 2081,Bairro 1
396,2119,2005-03-01,2009-01-07,Empresa 2119,Bairro 1
397,2149,2005-09-01,2008-02-01,Empresa 2149,Bairro 1
398,2131,2005-06-01,2008-07-30,Empresa 2131,Bairro 1
399,2135,1994-09-28,2007-05-24,Empresa 2135,Bairro 1
400,2108,2005-07-01,,Empresa 2108,Bairro 1
401,2117,2005-06-22,2006-12-07,Empresa 2117,Bairro 1
402,2115,2005-07-01,2010-03-19,Empresa 2115,Bairro 1
403,2136,2005-10-01,2008-10-23,Empresa 2136,Bairro 1
404,2142,2005-08-26,2007-02-14,Empresa 2142,Bairro 1
405,2118,2005-04-20,2008-07-14,Empresa 2118,Bairro 1
406,2096,2005-07-01,2009-01-07,Empresa 2096,Bairro 1
407,2140,2005-09-16,2007-10-31,Empresa 2140,Bairro 1
408,2049,2000-04-01,2009-01-07,Empresa 2049,Bairro 1
409,2077,2005-05-16,2007-03-16,Empresa 2077,Bairro 1
410,2177,2005-09-01,2009-01-07,Empresa 2177,Bairro 1
411,2181,2006-01-10,2009-01-07,Empresa 2181,Bairro 1
412,2073,2005-01-19,,Empresa 2073,Bairro 1
413,2185,2005-07-25,2009-01-07,Empresa 2185,Bairro 1
414,2070,2005-04-18,2009-01-07,Empresa 2070,Bairro 1
415,2193,2006-01-17,2008-02-06,Empresa 2193,Bairro 1
416,2179,2006-01-02,2007-03-13,Empresa 2179,Bairro 1
